,year,MUGU,KALIKOT,JUMLA,HUMLA
20,1970,1.177759005772603,10.687484722846577,3.9680187327364385,-3.10215157256137
21,1971,0.6153450033908221,10.218512354850137,3.595629845025753,-3.5643598993805483
22,1972,-0.2964901715027324,10.394095466008196,2.833817002967213,-4.56326769354235
23,1973,-0.14324140892232862,10.093685482073699,2.9619689615965754,-4.065626536648904
24,1974,0.5410387474187668,10.126854913784246,3.260047034167945,-3.5854472992141093
25,1975,0.05298299856438371,10.028882298294521,3.0973473205958904,-4.321656344146575
26,1976,1.0623015958815574,10.495181103689891,3.909076606052732,-3.225464616867759
27,1977,1.148928571860274,10.49702513800548,4.029018667726027,-3.324157334771233
28,1978,0.17013154933561658,9.78261406428356,2.881678893257534,-3.878948490621918
29,1979,0.34517524333424676,10.233068603665343,3.1907546184221918,-3.9168753863683565
30,1980,0.48915001193579233,9.932679021812842,3.145073956662568,-3.6092044765532783
31,1981,-0.345332486487671,9.506945232976712,2.5256285969369863,-4.566686151054794
32,1982,-0.24551572017260304,9.487942598554795,2.667377650423288,-4.647942038621918
33,1983,-0.8505644889287669,9.361537772387809,2.1775047531719176,-5.144850771267397
34,1984,0.8328455688387977,10.40352533096448,3.6484749671912566,-3.3121233992281423
35,1985,0.361028715008219,10.529367607078083,3.447169430082192,-3.959628069231507
36,1986,-0.45081918108356156,9.522338500339725,2.4187054368164387,-4.691370797520548
37,1987,0.4222755248054799,10.806804385183561,3.4394969401016846,-3.8265355738657534
38,1988,1.2833887564986337,10.873370321673498,4.060379937771858,-2.8374507228674863
39,1989,-0.07394326292876707,9.82739496609863,2.6643810340273975,-4.167310253187671
40,1990,0.9531627410493149,10.332941398058905,3.794885374827397,-3.2829113574602737
41,1991,0.33195001291506854,9.926292902157535,3.103551100868493,-3.839823442052055
42,1992,-0.041956456047814505,9.86643820121448,2.8294635692120216,-4.06294355707377
43,1993,1.2620160174794517,10.248182343631507,4.007499635865753,-2.894899693889041
44,1994,0.5865940856776715,10.118541456347124,3.365554276224932,-3.499007695144657
45,1995,0.00885591098904115,10.01833821661781,2.9759288628178084,-4.237898835945205
46,1996,-0.0008935091607922274,10.182528810856967,3.06876895339276,-4.110849636677186
47,1997,-0.9801427607178079,8.796575301506849,1.7660599890136985,-5.071612087350685
48,1998,0.9959506710534249,10.668939163494521,3.9372082880068495,-3.243731790564384
49,1999,1.6642935673863015,11.15761451969041,4.549621983984931,-2.74297693809863
50,2000,0.6808991622677596,10.060819091333332,3.4783947667991804,-3.4452322273879776
51,2001,1.1034687628890407,10.537373009608219,3.824715134387671,-3.1478989808863016
52,2002,0.3026009785397261,10.20927901639178,3.139384953475343,-3.8464171012506845
53,2003,0.5871769533821918,10.428766175949315,3.474162225339726,-3.7345599525054793
54,2004,0.6378737017404372,10.771146948780054,3.607919720378415,-3.53717380825
55,2005,0.24600625786438357,10.153316098830137,3.087062657779452,-3.9517491516876713
56,2006,1.2481249386342468,11.323838007532876,4.284005799226027,-3.024384698382192
57,2007,1.3171451681602742,10.897992167434246,4.2391797880561635,-2.9867279110027396
58,2008,0.9039803406771858,10.68194667692582,3.811785126920218,-3.5173096411132514
59,2009,0.9640347358078079,11.717576990741918,4.307966417514795,-3.617984095692055
60,2010,1.9231431854753425,11.822756041946574,4.922595735198629,-2.5019855451657538
61,2011,1.0412027412726028,10.434742029424656,3.8514256233753423,-3.0740503457328767
62,2012,-0.17882638447131116,10.005924693493716,2.7110793515293716,-4.259334316831284
63,2013,0.7188744200780819,10.592603798356164,3.697721978359863,-3.43970076480137
64,2014,-0.05890361663931509,10.240517774136027,2.9803471457656174,-4.20222433881726
65,2015,0.6031345280415068,10.359034597760138,3.531093735587946,-3.50760926749274
66,2016,2.385848448073361,11.668605253227323,5.1222846659206285,-1.7332597671234973
67,2017,1.2400290710863013,11.019988346390411,4.103921230465754,-2.8865173584219175
68,2018,1.4442763558890415,11.136152520345206,4.345236874672603,-3.0144040473410962
69,2019,0.17440173028082206,10.044088860384932,3.047198382850685,-3.986845450664384
70,2020,0.4460901094153007,10.4330672115847,3.3897044674098353,-3.643837716195355
71,2021,1.0760111634136986,11.252019733132876,4.231695321647945,-3.306256014058904
72,2022,1.4998786592534248,10.960114430743836,4.165416006265753,-2.8243893386753425
73,2023,1.193087532469863,11.038110301350684,3.966272780556165,-3.445284263726123
